Pin number,Pin name,Pin type,Pin description
1,VSS,Power,Ground,
2,ANT1,RF I/O,First antenna interface,
3,ANT2,RF I/O,Second antenna interface,
4,MODE,Digital IN,TX power mode control,
5,VDD,Power,Supply voltage,
6,VDD,Power,Supply voltage,
7,RX_EN,Digital IN,RX mode enable,
8,ANT_SEL,Digital IN,Antenna select,
9,TX_EN,Digital IN,TX mode enable,
10,TRX,RF IO,Transceiver interface,
11,PDN,Digital IN,Power-down active low,
12,SCK,Digital IN,SPI clockConnect to VSS if SPI interface is not used,
13,MOSI,Digital IN,SPI data inConnect to VSS if SPI interface is not used,
14,MISO,Digital OUT,SPI data outLeave unconnected if SPI interfaces is not used,
15,CSN,Digital IN,SPI chip select active lowConnect to VDD if SPI interface is not used,
16,VSS,Power,Ground,
DAP,VSS,Power,Ground,
