Pin number,Pin name,Pin type,Pin description
A1,XC1,Analog input,Connection for 32 MHz crystal,
A2,XC2,Analog input,Connection for 32 MHz crystal,
A3,DEC2,Power,1.3 V regulator supply decoupling (radio supply),
A4,DEC4,Power,1.3 V analog supply./Input from DC/DC converter. Output from 1.3 V LDO.,
A5,DCC,Power,DC/DC converter output (3.3 V PWM),
A6,VDD,Power,Power (battery) supply,
B3,VSS,Power,Ground,
B4,VSS,Power,Ground,
B5,P0.00/XL1,Digital I/O/Analog input,General purpose I/O/Connection for 32.768 kHz crystal (LFXO),
B6,DEC1,Power,0.9 V regulator digital supply decoupling,
C1,VSS_PA,Power,Ground,
D3,VSS,Power,Ground,
D4,VSS,Power,Ground,
D5,P0.01/XL2,Digital I/O/Analog input,General purpose I/O/Connection for 32.768 kHz crystal (LFXO),
D6,P0.03/AIN1,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
E1,ANT,RF,Single-ended radio antenna connection,
E2,P0.18,Digital I/O,General purpose I/O,
E3,VSS,Power,Ground,
E4,VSS,Power,Ground,
E5,P0.04/AIN2,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
E6,P0.05/AIN3,Digital I/O/Analog input,General purpose I/O/SAADC/COMP/LPCOMP input,
F1,SWDIO,Digital I/O,Serial wire debug I/O for debug and programming,
F2,P0.21/nRESET,Digital I/O,General purpose I/O/Configurable as pin reset,
F3,P0.17,Digital I/O,General purpose I/O,
F4,P0.14,Digital I/O,General purpose I/O,
F5,P0.11,Digital I/O,General purpose I/O,
F6,P0.08,Digital I/O,General purpose I/O,
G1,SWDCLK,Digital input,Serial wire debug clock input for debug and programming,
G2,P0.20,Digital I/O,General purpose I/O,
G3,P0.16,Digital I/O,General purpose I/O,
G4,P0.15,Digital I/O,General purpose I/O,
G5,P0.12,Digital I/O,General purpose I/O,
G6,VDD,Power,Power (battery) supply,
