Pin number,Pin name,Pin type,Pin description
1,OTPVDD,Power,,
2,N.C.,,Do not connect,
3,N.C.,,Do not connect,
4,N.C.,,Do not connect,
5,N.C.,,Do not connect,
6,N.C.,,Do not connect,
7,TXRF<1>,RF,,
8,PAVDD<1>,Power,,
9,TXRF<0>,RF,,
10,PAVDD<0>,Power,,
11,SXLDO,Power,,
12,PALDO,Power,,
13,VBAT,Power,,
14,RFVDD,Power,,
15,RFBUCKVDD,Power,,
16,XOLDO,Power,,
17,XOP,Analog input,40MHz crystal,
18,XON,Analog input,40MHz crystal,
19,AFELDO,Power,,
20,AFEVBAT,Power,,
21,N.C.,,Do not connect,
22,N.C.,,Do not connect,
23,N.C.,,Do not connect,
24,N.C.,,Do not connect,
25,BUCKVBAT,Power,,
26,BUCKOUT,Power,DCDC output,
27,BUCKVSS,Power,DCDC GND,
28,BUCKVSS,Power,DCDC GND,
29,BUCKVMID,Power,Voltage reference decoupling pin,
30,BUCKEN,Digital I/O,PWR IP enable pin,
31,BUCKVBATS,Power,,
32,PWRBUCKVDD,Power,,
33,DIGVDD,Power,,
34,PWRIOVDD,Power,,
35,QSPI_CLK              SPI_CLK,Digital I/O,QSPI Clock              SPI Clock,
36,QSPI_SS              SPI_SS,Digital I/O,QSPI Slave select              SPI Slave select,
37,QSPI_DATA0              SPI_MOSI,Digital I/O,QSPI data              SPI data,
38,QSPI_DATA1              SPI_MISO,Digital I/O,QSPI data              SPI data,
39,QSPI_DATA2,Digital I/O,QSPI data,
40,QSPI_DATA3,Digital I/O,QSPI data,
41,COEX_STATUS0,Digital I/O,Coex interface,
42,COEX_REQ,Digital I/O,Coex interface,
43,COEX_GRANT,Digital I/O,Coex interface,
44,SW_CTRL0,Digital I/O,External switch control,
45,SW_CTRL1,Digital I/O,External switch control,
46,HOST_IRQ,Digital I/O,Host processor interrupt request,
47,VSS,Power,,
48,IOVDD,Power,,
Die pad,VSS,Power,Ground pad. Exposed die pad must be connected to ground (VSS) for proper device operation.,
