Pin number,Pin name,Pin type,Pin description
A1,XC1,Analog input,Connection for 32 MHz crystal,
A2,XC2,Analog input,Connection for 32 MHz crystal,
A3,DEC2,Power,1.3 V regulator supply decoupling (radio supply),
A4,DEC4,Power,1.3 V analog supply.Input from DC/DC converter. Output from 1.3 V LDO.,
A5,DCC,Power,DC/DC converter output (3.3 V PWM),
A6,VDD,Power,Power (battery) supply,
B3,VSS,Power,Ground,
B4,VSS,Power,Ground,
B6,DEC1,Power,0.9 V regulator digital supply decoupling,
C1,VSS_PA,Power,Ground,
D3,VSS,Power,Ground,
D4,VSS,Power,Ground,
D5,P0.01XL2,Digital I/OAnalog input,General purpose I/OConnection for 32.768 kHz crystal (LFXO),
D6,P0.00XL1,Digital I/OAnalog input,General purpose I/OConnection for 32.768 kHz crystal (LFXO),
E1,ANT,RF,Single-ended radio antenna connection,
E3,VSS,Power,Ground,
E4,VSS,Power,Ground,
F1,SWDIO,Digital I/O,Serial wire debug I/O for debug and programming,
F2,P0.20,Digital I/O,General purpose I/O,
F4,P0.14,Digital I/O,General purpose I/O,
F5,P0.04AIN2,Digital I/OAnalog input,General purpose I/OSAADC input,
F6,P0.05AIN3,Digital I/OAnalog input,General purpose I/OSAADC input,
G1,SWDCLK,Digital input,Serial wire debug clock input for debug and programming,
G2,P0.21nRESET,Digital I/O,General purpose I/OConfigurable as pin reset,
G3,P0.18,Digital I/O,General purpose I/O,
G4,P0.16,Digital I/O,General purpose I/O,
G5,P0.12,Digital I/O,General purpose I/O,
G6,VDD,Power,Power (battery) supply,
