Pin number,Pin name,Pin type,Pin description
A1,XC1,Analog input,Connection for 32 MHz crystal,,
A2,XC2,Analog input,Connection for 32 MHz crystal,,
A3,P0.25,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
A4,P0.03/AIN1,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
A5,P0.29/AIN5,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
A6,DEC4,Power,1.3 V regulator supply decoupling,Must be connected to DEC6 (ball C2),
A7,VSS,Power,Ground,,
A8,DCC,Power,DC/DC converter output,,
A9,VDD,Power,Power supply,,
B3,VDD,Power,Power supply,,
B4,P1.03,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
B5,P0.30/AIN6,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
B6,P0.31/AIN7,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
B7,P0.01/XL2,Digital I/O/Analog input,General purpose I/O pin/Connection for 32.768 kHz crystal,,
B8,P0.00/XL1,Digital I/O/Analog input,General purpose I/O pin. /Connection for 32.768 kHz crystal,,
B9,DEC1,Power,1.1 V Digital supply decoupling,,
C1,VSS_PA,Power,Ground (radio supply),,
C2,DEC6,Power,1.3 V regulator supply decoupling,Must be connected to DEC4 (ball A6),
C4,P1.05,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
C5,P0.19,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
C6,P0.02/AIN0,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
C7,P0.28/AIN4,Digital I/O/Analog input,General purpose I/O pin/Analog input,Standard drive low frequency I/O only,
C8,P0.27,Digital I/O,General purpose I/O,,
C9,P0.26,Digital I/O,General purpose I/O,,
D3,VSS,Power,Ground,,
D4,VSS,Power,Ground,,
D5,VSS,Power,Ground,,
D6,VSS,Power,Ground,,
D7,P0.23,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
D8,P0.04/AIN2,Digital I/O/Analog input,General purpose I/O pin/Analog input,,
D9,P0.05/AIN3,Digital I/O/Analog input,General purpose I/O pin/Analog input,,
E1,ANT,RF,Single-ended radio antenna connection,See Reference circuitry for guidelines on how to ensure good RF performance,
E2,P0.10/NFC2,Digital I/O/NFC input,General purpose I/O/NFC antenna connection,Standard drive low frequency I/O only,
E3,P1.06,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
E4,VSS,Power,Ground,,
E5,VSS,Power,Ground,,
E6,VSS,Power,Ground,,
E7,P0.08,Digital I/O,General purpose I/O,,
E8,P0.07/TRACECLK,Digital I/O/Trace clock,General purpose I/O/Trace buffer clock,,
E9,P0.06,Digital I/O,General purpose I/O,,
F1,DEC5/Not connected,Power,1.3 V regulator supply decoupling for/build codes Axx/and earlier.///Not connected for/build codes Bxx/and later.,,
F2,P0.09/NFC1,Digital I/O/NFC input,General purpose I/O/NFC antenna connection,Standard drive low frequency I/O only,
F3,P1.01,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
F4,VSS,Power,Ground,,
F5,VSS,Power,Ground,,
F6,VSS,Power,Ground,,
F7,P0.13,Digital I/O,General purpose I/O,,
F8,P1.09/TRACEDATA3,Digital I/O/Trace data,General purpose I/O/Trace buffer TRACEDATA[3],,
F9,P1.08,Digital I/O,General purpose I/O,,
G1,P1.07,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
G2,P1.04,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
G3,P0.24,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
G4,P0.21,Digital I/O,General purpose I/O,,
G5,P0.20,Digital I/O,General purpose I/O,,
G6,P0.16,Digital I/O,General purpose I/O,,
G8,P0.11/TRACEDATA2,Digital I/O/Trace data,General purpose I/O/Trace buffer TRACEDATA[2],,
G9,VDD,Power,Power supply,,
H1,P1.02,Digital I/O,General purpose I/O,Standard drive low frequency I/O only,
H2,SWDCLK,Debug,Serial wire debug clock input for debug and programming,,
H3,P1.00/TRACEDATA0,Digital I/O/Trace data,General purpose I/O/Trace buffer TRACEDATA[0]/Serial wire output (SWO),,
H4,P0.18/nRESET,Digital I/O,General purpose I/O/Configurable as pin RESET,,
H5,P0.15,Digital I/O,General purpose I/O,,
H6,P0.12/TRACEDATA1,Digital I/O/Trace data,General purpose I/O/Trace buffer TRACEDATA[1],,
H7,D-,USB,USB D-,,
H8,VBUS,Power,5 V input for USB 3.3 V regulator,,
H9,VDDH,Power,High voltage power supply,,
J1,VDD,Power,Power supply,,
J2,SWDIO,Debug,Serial wire debug I/O for debug and programming,,
J3,P0.22,Digital I/O,General purpose I/O,,
J4,VDD,Power,Power supply,,
J5,P0.17,Digital I/O,General purpose I/O,,
J6,P0.14,Digital I/O,General purpose I/O,,
J7,D+,USB,USB D+,,
J8,DECUSB,Power,USB 3.3 V regulator supply decoupling,,
J9,VSS,Power,Ground,,
