Pin number,Pin name,Pin type,Pin description
1,DEC1,Power,0.9 V regulator digital supply decoupling,
2,P0.00XL1,Digital I/OAnalog input,General purpose I/O Connection for 32.768 kHz crystal (LFXO),
3,P0.01XL2,Digital I/OAnalog input,General purpose I/OConnection for 32.768 kHz crystal (LFXO),
4,P0.04AIN2,Digital I/OAnalog input,General purpose I/OCOMP inputSAADC input,
5,P0.05AIN3,Digital I/OAnalog input,General purpose I/OCOMP inputSAADC input,
6,P0.06,Digital I/O,General purpose I/O,
7,P0.09,Digital I/O,General purpose I/O,
8,P0.10,Digital I/O,General purpose I/O,
9,VDD,Power,Power supply,
10,P0.12,Digital I/O,General purpose I/O,
11,P0.14,Digital I/O,General purpose I/O,
12,P0.15,Digital I/O,General purpose I/O,
13,P0.16,Digital I/O,General purpose I/O,
14,P0.18,Digital I/O,General purpose I/OSingle wire output,
15,P0.20,Digital I/O,General purpose I/O,
16,P0.21nRESET,Digital I/O,General purpose I/OConfigurable as pin reset,
17,SWDCLK,Digital input,Serial wire debug clock input for debug and programming,
18,SWDIO,Digital I/O,Serial wire debug I/O for debug and programming,
19,ANT,RF,Single-ended radio antenna connection,
20,VSS,Power,Ground (radio supply),
21,DEC2,Power,1.3 V regulator supply decoupling (radio supply),
22,DEC3,Power,Power supply decoupling,
23,XC1,Analog input,Connection for 32 MHz crystal,
24,XC2,Analog input,Connection for 32 MHz crystal,
25,VDD,Power,Power supply,
26,P0.25,Digital I/O,General purpose I/O,
27,P0.28AIN4,Digital I/OAnalog input,General purpose I/OCOMP inputSAADC input,
28,P0.30AIN6,Digital I/OAnalog input,General purpose I/OCOMP inputSAADC input,
29,VSS,Power,Ground,
30,DEC4,Power,1.3 V regulator supply decouplingInput from DC/DC regulatorOutput from 1.3 V LDO,
31,DCC,Power,DC/DC regulator output,
32,VDD,Power,Power supply,
Die pad,VSS,Power,Ground pad Exposed die pad must be connected to ground (VSS) for properdevice operation.,
