Pin number,Pin name,Pin type,Pin description
1,DEC1,Power,0.9 V regulator digital supply decoupling,
2,P0.00/XL1,Digital I/O/Analog input,General purpose I/O /Connection for 32.768 kHz crystal (LFXO),
3,P0.01/XL2,Digital I/O/Analog input,General purpose I/O/Connection for 32.768 kHz crystal (LFXO),
4,P0.02/AIN0,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
5,P0.03/AIN1,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
6,P0.04/AIN2,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
7,P0.05/AIN3,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
8,P0.06,Digital I/O,General purpose I/O,
9,P0.07,Digital I/O,General purpose I/O,
10,P0.08,Digital I/O,General purpose I/O,
11,P0.09,Digital I/O,General purpose I/O,
12,P0.10,Digital I/O,General purpose I/O,
13,VDD,Power,Power supply,
14,P0.11,Digital I/O,General purpose I/O,
15,P0.12,Digital I/O,General purpose I/O,
16,P0.13,Digital I/O,General purpose I/O,
17,P0.14,Digital I/O,General purpose I/O,
18,P0.15,Digital I/O,General purpose I/O,
19,P0.16,Digital I/O,General purpose I/O,
20,P0.17,Digital I/O,General purpose I/O,
21,P0.18,Digital I/O,General purpose I/O,
22,P0.19,Digital I/O,General purpose I/O,
23,P0.20,Digital I/O,General purpose I/O,
24,P0.21/nRESET,Digital I/O,General purpose I/O/Configurable as pin reset,
25,SWDCLK,Digital input,Serial wire debug clock input for debug and programming,
26,SWDIO,Digital I/O,Serial wire debug I/O for debug and programming,
27,P0.22,Digital I/O,General purpose I/O,
28,P0.23,Digital I/O,General purpose I/O,
29,P0.24,Digital I/O,General purpose I/O,
30,ANT,RF,Single-ended radio antenna connection,
31,VSS,Power,Ground (radio supply),
32,DEC2,Power,1.3 V regulator supply decoupling (radio supply),
33,DEC3,Power,Power supply decoupling,
34,XC1,Analog input,Connection for 32 MHz crystal,
35,XC2,Analog input,Connection for 32 MHz crystal,
36,VDD,Power,Power supply,
37,P0.25,Digital I/O,General purpose I/O,
38,P0.26,Digital I/O,General purpose I/O,
39,P0.27,Digital I/O,General purpose I/O,
40,P0.28/AIN4,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
41,P0.29/AIN5,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
42,P0.30/AIN6,Digital I/O/Analog input,General purpose I/O/COMP input/SAADC input,
43,P0.31/AIN7,Digital I/O/Analog input,General purpose I/O pin/COMP input/SAADC input,
44,NC,,No connect/Leave unconnected,
45,VSS,Power,Ground,
46,DEC4,Power,1.3 V regulator supply decoupling/Input from DC/DC regulator/Output from 1.3 V LDO,
47,DCC,Power,DC/DC regulator output,
48,VDD,Power,Power supply,
Die pad,VSS,Power,Ground pad Exposed die pad must be connected to ground (VSS) for proper/device operation.,
